variable,units,mean,stdev,n,group,month,year,county,station,depth
Temperature,degrees Celsius,5.925,1,4389,county_month_depth,5,NA,Halifax,NA,3
Dissolved Oxygen,mg/L,10.557,0.429,2845,county_month_depth,5,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,108.351,3.923,31690,county_month_depth,5,NA,Halifax,NA,5
Temperature,degrees Celsius,5.013,1.607,90415,county_month_depth,5,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,108.304,4.638,4389,county_month_depth,5,NA,Halifax,NA,6
Temperature,degrees Celsius,4.927,0.876,4389,county_month_depth,5,NA,Halifax,NA,6
Temperature,degrees Celsius,4.193,1.484,57890,county_month_depth,5,NA,Halifax,NA,10
Temperature,degrees Celsius,3.979,0.868,1488,county_month_depth,5,NA,Halifax,NA,12
Temperature,degrees Celsius,3.726,1.273,34591,county_month_depth,5,NA,Halifax,NA,15
Temperature,degrees Celsius,2.735,0.35,744,county_month_depth,5,NA,Halifax,NA,16
Temperature,degrees Celsius,2.982,0.821,40804,county_month_depth,5,NA,Halifax,NA,20
Temperature,degrees Celsius,2.511,0.915,2127,county_month_depth,5,NA,Halifax,NA,30
Temperature,degrees Celsius,15.972,1.953,2880,county_month_depth,6,NA,Halifax,NA,0
Temperature,degrees Celsius,14.893,2.184,2880,county_month_depth,6,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,118.672,3.007,4255,county_month_depth,6,NA,Halifax,NA,2
Temperature,degrees Celsius,9.95,2.873,67195,county_month_depth,6,NA,Halifax,NA,2
Dissolved Oxygen,percent saturation,116.844,2.61,4246,county_month_depth,6,NA,Halifax,NA,3
Temperature,degrees Celsius,8.355,0.937,4247,county_month_depth,6,NA,Halifax,NA,3
Dissolved Oxygen,mg/L,9.598,0.964,3704,county_month_depth,6,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,110.712,3.632,29935,county_month_depth,6,NA,Halifax,NA,5
Temperature,degrees Celsius,8.113,2.24,79063,county_month_depth,6,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,111.284,2.445,4247,county_month_depth,6,NA,Halifax,NA,6
Temperature,degrees Celsius,7.585,0.864,4247,county_month_depth,6,NA,Halifax,NA,6
Temperature,degrees Celsius,6.247,1.821,69719,county_month_depth,6,NA,Halifax,NA,10
Temperature,degrees Celsius,5.727,1.51,1440,county_month_depth,6,NA,Halifax,NA,12
Temperature,degrees Celsius,5.096,1.779,46839,county_month_depth,6,NA,Halifax,NA,15
Temperature,degrees Celsius,5.495,0.855,720,county_month_depth,6,NA,Halifax,NA,16
Temperature,degrees Celsius,5.136,1.192,18000,county_month_depth,6,NA,Halifax,NA,20
Temperature,degrees Celsius,4.847,0.968,1440,county_month_depth,6,NA,Halifax,NA,30
Temperature,degrees Celsius,19.207,0.932,2976,county_month_depth,7,NA,Halifax,NA,0
Temperature,degrees Celsius,18.302,2.091,3454,county_month_depth,7,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,119.812,3.627,1843,county_month_depth,7,NA,Halifax,NA,2
Temperature,degrees Celsius,14.025,3.043,69434,county_month_depth,7,NA,Halifax,NA,2
Dissolved Oxygen,percent saturation,119.784,3.099,3226,county_month_depth,7,NA,Halifax,NA,3
Temperature,degrees Celsius,10.963,2.319,4389,county_month_depth,7,NA,Halifax,NA,3
Dissolved Oxygen,mg/L,9.957,0.769,2976,county_month_depth,7,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,111.512,2.822,19485,county_month_depth,7,NA,Halifax,NA,5
Temperature,degrees Celsius,12.026,2.684,81699,county_month_depth,7,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,113.273,2.326,3227,county_month_depth,7,NA,Halifax,NA,6
Temperature,degrees Celsius,9.704,2.021,4389,county_month_depth,7,NA,Halifax,NA,6
Temperature,degrees Celsius,9.333,2.58,52169,county_month_depth,7,NA,Halifax,NA,10
Temperature,degrees Celsius,7.265,1.965,1488,county_month_depth,7,NA,Halifax,NA,12
Temperature,degrees Celsius,8.376,2.255,29760,county_month_depth,7,NA,Halifax,NA,15
Temperature,degrees Celsius,6.059,0.799,744,county_month_depth,7,NA,Halifax,NA,16
Temperature,degrees Celsius,7.007,1.502,18600,county_month_depth,7,NA,Halifax,NA,20
Temperature,degrees Celsius,6.66,1.215,1488,county_month_depth,7,NA,Halifax,NA,30
Temperature,degrees Celsius,21.045,1.396,3265,county_month_depth,8,NA,Halifax,NA,0
Temperature,degrees Celsius,20.582,1.427,5347,county_month_depth,8,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,109.733,3.035,8431,county_month_depth,8,NA,Halifax,NA,2
Temperature,degrees Celsius,15.9,3.402,67430,county_month_depth,8,NA,Halifax,NA,2
Temperature,degrees Celsius,13.867,3.964,4389,county_month_depth,8,NA,Halifax,NA,3
Dissolved Oxygen,mg/L,8.733,1.341,2976,county_month_depth,8,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,113.072,4.532,20719,county_month_depth,8,NA,Halifax,NA,5
Temperature,degrees Celsius,13.527,3.541,79399,county_month_depth,8,NA,Halifax,NA,5
Temperature,degrees Celsius,12.583,4.194,4388,county_month_depth,8,NA,Halifax,NA,6
Temperature,degrees Celsius,11.14,3.739,50118,county_month_depth,8,NA,Halifax,NA,10
Temperature,degrees Celsius,8.799,2.062,1106,county_month_depth,8,NA,Halifax,NA,12
Temperature,degrees Celsius,10.147,3.734,29760,county_month_depth,8,NA,Halifax,NA,15
Temperature,degrees Celsius,7.833,1.018,744,county_month_depth,8,NA,Halifax,NA,16
Temperature,degrees Celsius,8.431,2.57,18561,county_month_depth,8,NA,Halifax,NA,20
Temperature,degrees Celsius,8.415,1.104,1488,county_month_depth,8,NA,Halifax,NA,30
Temperature,degrees Celsius,19.01,1.774,4093,county_month_depth,9,NA,Halifax,NA,0
Temperature,degrees Celsius,18.938,0.885,2803,county_month_depth,9,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,103.787,2.229,8498,county_month_depth,9,NA,Halifax,NA,2
Temperature,degrees Celsius,17.248,2.085,54001,county_month_depth,9,NA,Halifax,NA,2
Temperature,degrees Celsius,18.093,1.093,1792,county_month_depth,9,NA,Halifax,NA,3
Dissolved Oxygen,mg/L,7.538,0.492,2880,county_month_depth,9,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,105.023,4.976,31287,county_month_depth,9,NA,Halifax,NA,5
Temperature,degrees Celsius,16.251,2.209,79940,county_month_depth,9,NA,Halifax,NA,5
Temperature,degrees Celsius,17.161,1.26,1791,county_month_depth,9,NA,Halifax,NA,6
Temperature,degrees Celsius,14.782,3.104,47275,county_month_depth,9,NA,Halifax,NA,10
Temperature,degrees Celsius,12.327,2.776,720,county_month_depth,9,NA,Halifax,NA,12
Temperature,degrees Celsius,13.938,3.22,29574,county_month_depth,9,NA,Halifax,NA,15
Temperature,degrees Celsius,10.137,0.796,304,county_month_depth,9,NA,Halifax,NA,16
Temperature,degrees Celsius,12.165,2.854,13630,county_month_depth,9,NA,Halifax,NA,20
Temperature,degrees Celsius,10.321,1.933,1428,county_month_depth,9,NA,Halifax,NA,30
Temperature,degrees Celsius,14.843,1.826,2976,county_month_depth,10,NA,Halifax,NA,0
Temperature,degrees Celsius,15.302,1.396,2976,county_month_depth,10,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,100.457,2.485,8784,county_month_depth,10,NA,Halifax,NA,2
Temperature,degrees Celsius,13.295,2.64,51170,county_month_depth,10,NA,Halifax,NA,2
Dissolved Oxygen,mg/L,7.574,0.796,2976,county_month_depth,10,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,101.657,4.495,40950,county_month_depth,10,NA,Halifax,NA,5
Temperature,degrees Celsius,12.698,2.826,86359,county_month_depth,10,NA,Halifax,NA,5
Temperature,degrees Celsius,12.661,2.903,46833,county_month_depth,10,NA,Halifax,NA,10
Temperature,degrees Celsius,13.438,1.853,844,county_month_depth,10,NA,Halifax,NA,12
Temperature,degrees Celsius,11.263,2.118,81651,county_month_depth,10,NA,Halifax,NA,15
Temperature,degrees Celsius,11.536,3.639,14077,county_month_depth,10,NA,Halifax,NA,20
Temperature,degrees Celsius,11.186,0.928,17362,county_month_depth,10,NA,Halifax,NA,30
Temperature,degrees Celsius,9.157,1.535,2880,county_month_depth,11,NA,Halifax,NA,0
Temperature,degrees Celsius,8.017,2.587,3968,county_month_depth,11,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,99.88,2.954,7952,county_month_depth,11,NA,Halifax,NA,2
Temperature,degrees Celsius,8.936,1.989,47378,county_month_depth,11,NA,Halifax,NA,2
Dissolved Oxygen,mg/L,9.06,0.467,3218,county_month_depth,11,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,100.546,4.593,53679,county_month_depth,11,NA,Halifax,NA,5
Temperature,degrees Celsius,8.402,2.326,76079,county_month_depth,11,NA,Halifax,NA,5
Temperature,degrees Celsius,8.858,2.163,37637,county_month_depth,11,NA,Halifax,NA,10
Temperature,degrees Celsius,8.913,1.35,1440,county_month_depth,11,NA,Halifax,NA,12
Temperature,degrees Celsius,8.91,2.243,32958,county_month_depth,11,NA,Halifax,NA,15
Temperature,degrees Celsius,7.743,2.298,12806,county_month_depth,11,NA,Halifax,NA,20
Temperature,degrees Celsius,9.584,1.924,5201,county_month_depth,11,NA,Halifax,NA,30
Temperature,degrees Celsius,3.667,1.957,2976,county_month_depth,12,NA,Halifax,NA,0
Temperature,degrees Celsius,5.29,1.805,4084,county_month_depth,12,NA,Halifax,NA,1
Dissolved Oxygen,percent saturation,98.913,3.026,13263,county_month_depth,12,NA,Halifax,NA,2
Temperature,degrees Celsius,5.258,1.716,49666,county_month_depth,12,NA,Halifax,NA,2
Dissolved Oxygen,mg/L,9.493,0.407,8928,county_month_depth,12,NA,Halifax,NA,5
Dissolved Oxygen,percent saturation,100.715,4.387,51048,county_month_depth,12,NA,Halifax,NA,5
Temperature,degrees Celsius,5.146,1.69,80470,county_month_depth,12,NA,Halifax,NA,5
Temperature,degrees Celsius,5.723,1.631,34894,county_month_depth,12,NA,Halifax,NA,10
Temperature,degrees Celsius,6.082,1.321,1488,county_month_depth,12,NA,Halifax,NA,12
Temperature,degrees Celsius,5.397,1.81,24482,county_month_depth,12,NA,Halifax,NA,15
Temperature,degrees Celsius,6.099,1.768,20649,county_month_depth,12,NA,Halifax,NA,20
Temperature,degrees Celsius,4.627,1.225,1488,county_month_depth,12,NA,Halifax,NA,30
Temperature,degrees Celsius,2.242,1.032,2232,county_month_depth,1,NA,Inverness,NA,1
Temperature,degrees Celsius,2.575,0.735,744,county_month_depth,1,NA,Inverness,NA,2
Temperature,degrees Celsius,2.323,0.997,2232,county_month_depth,1,NA,Inverness,NA,4
Temperature,degrees Celsius,2.616,0.737,744,county_month_depth,1,NA,Inverness,NA,5
Temperature,degrees Celsius,3.087,0.751,744,county_month_depth,1,NA,Inverness,NA,8
Temperature,degrees Celsius,1.819,0.965,1488,county_month_depth,1,NA,Inverness,NA,9
Temperature,degrees Celsius,2.394,0.774,2232,county_month_depth,1,NA,Inverness,NA,10
Temperature,degrees Celsius,1.925,0.797,1488,county_month_depth,1,NA,Inverness,NA,11
Temperature,degrees Celsius,1.057,0.607,2005,county_month_depth,2,NA,Inverness,NA,1
Temperature,degrees Celsius,1.25,0.37,696,county_month_depth,2,NA,Inverness,NA,2
Temperature,degrees Celsius,1.123,0.573,2005,county_month_depth,2,NA,Inverness,NA,4
Temperature,degrees Celsius,1.248,0.332,696,county_month_depth,2,NA,Inverness,NA,5
Temperature,degrees Celsius,1.427,0.284,696,county_month_depth,2,NA,Inverness,NA,8
Temperature,degrees Celsius,0.877,0.656,1309,county_month_depth,2,NA,Inverness,NA,9
Temperature,degrees Celsius,1.581,0.551,2040,county_month_depth,2,NA,Inverness,NA,10
Temperature,degrees Celsius,0.856,0.741,1344,county_month_depth,2,NA,Inverness,NA,11
Temperature,degrees Celsius,0.674,0.567,1488,county_month_depth,3,NA,Inverness,NA,1
Temperature,degrees Celsius,1.196,0.311,744,county_month_depth,3,NA,Inverness,NA,2
Temperature,degrees Celsius,0.681,0.507,1488,county_month_depth,3,NA,Inverness,NA,4
Temperature,degrees Celsius,1.192,0.274,744,county_month_depth,3,NA,Inverness,NA,5
Temperature,degrees Celsius,1.173,0.202,744,county_month_depth,3,NA,Inverness,NA,8
Temperature,degrees Celsius,0.24,0.328,744,county_month_depth,3,NA,Inverness,NA,9
Temperature,degrees Celsius,1.103,0.53,2232,county_month_depth,3,NA,Inverness,NA,10
Temperature,degrees Celsius,0.734,0.523,1488,county_month_depth,3,NA,Inverness,NA,11
Temperature,degrees Celsius,1.519,1.179,1440,county_month_depth,4,NA,Inverness,NA,1
Temperature,degrees Celsius,2.027,0.771,720,county_month_depth,4,NA,Inverness,NA,2
Temperature,degrees Celsius,1.308,1.008,1440,county_month_depth,4,NA,Inverness,NA,4
Temperature,degrees Celsius,1.921,0.676,720,county_month_depth,4,NA,Inverness,NA,5
Temperature,degrees Celsius,1.521,0.59,720,county_month_depth,4,NA,Inverness,NA,8
Temperature,degrees Celsius,1.645,1.6,720,county_month_depth,4,NA,Inverness,NA,9
Temperature,degrees Celsius,1.833,0.61,2160,county_month_depth,4,NA,Inverness,NA,10
Temperature,degrees Celsius,1.802,0.694,1440,county_month_depth,4,NA,Inverness,NA,11
Temperature,degrees Celsius,4.584,2.071,1488,county_month_depth,5,NA,Inverness,NA,1
Temperature,degrees Celsius,5.773,1.751,744,county_month_depth,5,NA,Inverness,NA,2
Temperature,degrees Celsius,4.322,2.014,1499,county_month_depth,5,NA,Inverness,NA,4
Temperature,degrees Celsius,5.494,1.7,744,county_month_depth,5,NA,Inverness,NA,5
Dissolved Oxygen,percent saturation,109.129,0.597,17,county_month_depth,5,NA,Inverness,NA,6
Temperature,degrees Celsius,10.389,0.066,17,county_month_depth,5,NA,Inverness,NA,6
Temperature,degrees Celsius,4.408,1.623,744,county_month_depth,5,NA,Inverness,NA,8
Temperature,degrees Celsius,4.438,1.884,744,county_month_depth,5,NA,Inverness,NA,9
Temperature,degrees Celsius,5.024,1.496,2243,county_month_depth,5,NA,Inverness,NA,10
Temperature,degrees Celsius,5.405,1.324,1488,county_month_depth,5,NA,Inverness,NA,11
Temperature,degrees Celsius,2.537,0.026,17,county_month_depth,5,NA,Inverness,NA,18
Temperature,degrees Celsius,3.106,0.021,11,county_month_depth,5,NA,Inverness,NA,26
Temperature,degrees Celsius,3.321,0.014,16,county_month_depth,5,NA,Inverness,NA,36
Temperature,degrees Celsius,3.223,0.008,11,county_month_depth,5,NA,Inverness,NA,40
Temperature,degrees Celsius,8.723,3.321,1440,county_month_depth,6,NA,Inverness,NA,1
Temperature,degrees Celsius,9.605,2.955,720,county_month_depth,6,NA,Inverness,NA,2
Temperature,degrees Celsius,13.283,1.472,2820,county_month_depth,6,NA,Inverness,NA,3
Temperature,degrees Celsius,11.287,3.276,4320,county_month_depth,6,NA,Inverness,NA,4
Dissolved Oxygen,percent saturation,108.765,2.062,20473,county_month_depth,6,NA,Inverness,NA,5
Temperature,degrees Celsius,11.789,1.714,21196,county_month_depth,6,NA,Inverness,NA,5
Dissolved Oxygen,percent saturation,107.975,2.423,4271,county_month_depth,6,NA,Inverness,NA,6
Temperature,degrees Celsius,11.754,1.296,4271,county_month_depth,6,NA,Inverness,NA,6
Temperature,degrees Celsius,7.932,2.808,720,county_month_depth,6,NA,Inverness,NA,8
Temperature,degrees Celsius,9.564,3.039,720,county_month_depth,6,NA,Inverness,NA,9
Temperature,degrees Celsius,6.884,1.927,7860,county_month_depth,6,NA,Inverness,NA,10
Temperature,degrees Celsius,9.501,1.537,1440,county_month_depth,6,NA,Inverness,NA,11
Temperature,degrees Celsius,2.387,0.32,7091,county_month_depth,6,NA,Inverness,NA,18
Temperature,degrees Celsius,1.836,0.058,2820,county_month_depth,6,NA,Inverness,NA,23
Temperature,degrees Celsius,3.081,0.029,2880,county_month_depth,6,NA,Inverness,NA,26
Temperature,degrees Celsius,1.957,0.031,4151,county_month_depth,6,NA,Inverness,NA,28
Temperature,degrees Celsius,3.311,0.01,4279,county_month_depth,6,NA,Inverness,NA,36
Temperature,degrees Celsius,3.221,0.001,2880,county_month_depth,6,NA,Inverness,NA,40
Temperature,degrees Celsius,14.505,3.123,1488,county_month_depth,7,NA,Inverness,NA,1
Temperature,degrees Celsius,14.851,2.861,744,county_month_depth,7,NA,Inverness,NA,2
Temperature,degrees Celsius,20.399,2.155,2976,county_month_depth,7,NA,Inverness,NA,3
Temperature,degrees Celsius,17.166,4.062,4464,county_month_depth,7,NA,Inverness,NA,4
Dissolved Oxygen,percent saturation,115.704,3.624,21607,county_month_depth,7,NA,Inverness,NA,5
Temperature,degrees Celsius,15.81,2.571,22352,county_month_depth,7,NA,Inverness,NA,5
Dissolved Oxygen,percent saturation,108.001,6.363,4413,county_month_depth,7,NA,Inverness,NA,6
Temperature,degrees Celsius,15.455,2.286,4413,county_month_depth,7,NA,Inverness,NA,6
Temperature,degrees Celsius,10.67,2.188,744,county_month_depth,7,NA,Inverness,NA,8
Temperature,degrees Celsius,15.922,2.374,744,county_month_depth,7,NA,Inverness,NA,9
Temperature,degrees Celsius,10.669,2.27,8184,county_month_depth,7,NA,Inverness,NA,10
Temperature,degrees Celsius,14.366,1.844,1488,county_month_depth,7,NA,Inverness,NA,11
Temperature,degrees Celsius,2.625,0.23,7389,county_month_depth,7,NA,Inverness,NA,18
Temperature,degrees Celsius,1.972,0.08,2976,county_month_depth,7,NA,Inverness,NA,23
Temperature,degrees Celsius,3.054,0.026,2976,county_month_depth,7,NA,Inverness,NA,26
Temperature,degrees Celsius,2.038,0.033,4379,county_month_depth,7,NA,Inverness,NA,28
Temperature,degrees Celsius,3.305,0.009,4421,county_month_depth,7,NA,Inverness,NA,36
Temperature,degrees Celsius,3.221,0.002,2976,county_month_depth,7,NA,Inverness,NA,40
Temperature,degrees Celsius,17.105,2.498,1488,county_month_depth,8,NA,Inverness,NA,1
Temperature,degrees Celsius,17.651,2.017,744,county_month_depth,8,NA,Inverness,NA,2
Temperature,degrees Celsius,23.33,1.226,1985,county_month_depth,8,NA,Inverness,NA,3
Temperature,degrees Celsius,20.139,3.592,4464,county_month_depth,8,NA,Inverness,NA,4
Dissolved Oxygen,percent saturation,117.924,4.185,14409,county_month_depth,8,NA,Inverness,NA,5
Temperature,degrees Celsius,18.934,1.814,15153,county_month_depth,8,NA,Inverness,NA,5
Dissolved Oxygen,percent saturation,105.543,8.757,4414,county_month_depth,8,NA,Inverness,NA,6
Temperature,degrees Celsius,19.43,2.104,4414,county_month_depth,8,NA,Inverness,NA,6
Temperature,degrees Celsius,14.608,3.965,744,county_month_depth,8,NA,Inverness,NA,8
Temperature,degrees Celsius,18.234,1.42,744,county_month_depth,8,NA,Inverness,NA,9
Temperature,degrees Celsius,14.978,2.657,5702,county_month_depth,8,NA,Inverness,NA,10
Temperature,degrees Celsius,17.725,0.973,1488,county_month_depth,8,NA,Inverness,NA,11
Temperature,degrees Celsius,2.838,0.187,6399,county_month_depth,8,NA,Inverness,NA,18
Temperature,degrees Celsius,2.083,0.115,1985,county_month_depth,8,NA,Inverness,NA,23
Temperature,degrees Celsius,3.045,0.021,2976,county_month_depth,8,NA,Inverness,NA,26
Temperature,degrees Celsius,2.107,0.041,2921,county_month_depth,8,NA,Inverness,NA,28
Temperature,degrees Celsius,3.301,0.007,4421,county_month_depth,8,NA,Inverness,NA,36
Temperature,degrees Celsius,3.221,0.003,2976,county_month_depth,8,NA,Inverness,NA,40
Temperature,degrees Celsius,16.839,1.452,1436,county_month_depth,9,NA,Inverness,NA,1
Temperature,degrees Celsius,15.471,0.331,19,county_month_depth,9,NA,Inverness,NA,2
Temperature,degrees Celsius,17.588,2.603,1889,county_month_depth,9,NA,Inverness,NA,4
Temperature,degrees Celsius,15.093,0.317,19,county_month_depth,9,NA,Inverness,NA,5
Dissolved Oxygen,percent saturation,95.985,6.12,670,county_month_depth,9,NA,Inverness,NA,6
Temperature,degrees Celsius,20.55,0.6,670,county_month_depth,9,NA,Inverness,NA,6
Temperature,degrees Celsius,15.843,0.552,30621,county_month_depth,9,NA,Inverness,NA,8
Temperature,degrees Celsius,17.155,1.315,1425,county_month_depth,9,NA,Inverness,NA,9
Salinity,practical salinity units,23.136,0.355,29970,county_month_depth,9,NA,Inverness,NA,10
Temperature,degrees Celsius,14.399,0.995,32184,county_month_depth,9,NA,Inverness,NA,10
Temperature,degrees Celsius,17.28,1.143,1103,county_month_depth,9,NA,Inverness,NA,11
Temperature,degrees Celsius,3.165,0.186,31280,county_month_depth,9,NA,Inverness,NA,18
Temperature,degrees Celsius,3.044,0.018,453,county_month_depth,9,NA,Inverness,NA,26
Temperature,degrees Celsius,3.3,0.007,672,county_month_depth,9,NA,Inverness,NA,36
Temperature,degrees Celsius,3.221,0.002,453,county_month_depth,9,NA,Inverness,NA,40
Temperature,degrees Celsius,13.627,1.751,1488,county_month_depth,10,NA,Inverness,NA,1
Temperature,degrees Celsius,13.583,1.837,1488,county_month_depth,10,NA,Inverness,NA,4
Temperature,degrees Celsius,14.031,0.913,44641,county_month_depth,10,NA,Inverness,NA,8
Temperature,degrees Celsius,13.772,1.627,1488,county_month_depth,10,NA,Inverness,NA,9
Salinity,practical salinity units,22.28,0.685,44640,county_month_depth,10,NA,Inverness,NA,10
Temperature,degrees Celsius,13.847,0.756,46128,county_month_depth,10,NA,Inverness,NA,10
Temperature,degrees Celsius,14.555,1.508,1488,county_month_depth,10,NA,Inverness,NA,11
Temperature,degrees Celsius,3.518,0.387,44640,county_month_depth,10,NA,Inverness,NA,18
Temperature,degrees Celsius,9.348,1.32,1538,county_month_depth,11,NA,Inverness,NA,1
Temperature,degrees Celsius,7.141,0.58,98,county_month_depth,11,NA,Inverness,NA,2
Temperature,degrees Celsius,9.396,1.289,1539,county_month_depth,11,NA,Inverness,NA,4
Temperature,degrees Celsius,7.168,0.552,98,county_month_depth,11,NA,Inverness,NA,5
Temperature,degrees Celsius,10.498,1.374,43298,county_month_depth,11,NA,Inverness,NA,8
Temperature,degrees Celsius,9.544,1.272,1440,county_month_depth,11,NA,Inverness,NA,9
Salinity,practical salinity units,21.749,0.584,43200,county_month_depth,11,NA,Inverness,NA,10
Temperature,degrees Celsius,10.884,1.298,44738,county_month_depth,11,NA,Inverness,NA,10
Temperature,degrees Celsius,10.475,1.419,1440,county_month_depth,11,NA,Inverness,NA,11
Temperature,degrees Celsius,4.682,0.792,43199,county_month_depth,11,NA,Inverness,NA,18
Temperature,degrees Celsius,5.171,1.523,2232,county_month_depth,12,NA,Inverness,NA,1
Temperature,degrees Celsius,4.96,0.701,744,county_month_depth,12,NA,Inverness,NA,2
Temperature,degrees Celsius,5.24,1.526,2232,county_month_depth,12,NA,Inverness,NA,4
Temperature,degrees Celsius,4.971,0.694,744,county_month_depth,12,NA,Inverness,NA,5
Temperature,degrees Celsius,7.85,1.108,5879,county_month_depth,12,NA,Inverness,NA,8
Temperature,degrees Celsius,5.199,1.783,1488,county_month_depth,12,NA,Inverness,NA,9
Salinity,practical salinity units,21.064,0.433,5135,county_month_depth,12,NA,Inverness,NA,10
Temperature,degrees Celsius,7.695,1.764,7367,county_month_depth,12,NA,Inverness,NA,10
Temperature,degrees Celsius,5.588,1.834,1488,county_month_depth,12,NA,Inverness,NA,11
Temperature,degrees Celsius,5.398,0.679,5136,county_month_depth,12,NA,Inverness,NA,18
Temperature,degrees Celsius,3.733,0.931,744,county_month_depth,1,NA,Lunenburg,NA,1
Dissolved Oxygen,percent saturation,105.96,1.09,4464,county_month_depth,1,NA,Lunenburg,NA,2
Temperature,degrees Celsius,3.328,1.31,48951,county_month_depth,1,NA,Lunenburg,NA,2
Dissolved Oxygen,mg/L,10.323,0.411,26784,county_month_depth,1,NA,Lunenburg,NA,5
Dissolved Oxygen,percent saturation,101.672,3.501,12838,county_month_depth,1,NA,Lunenburg,NA,5
Temperature,degrees Celsius,3.399,1.262,53418,county_month_depth,1,NA,Lunenburg,NA,5
Temperature,degrees Celsius,3.624,1.241,41664,county_month_depth,1,NA,Lunenburg,NA,10
Temperature,degrees Celsius,3.992,0.973,744,county_month_depth,1,NA,Lunenburg,NA,12
Temperature,degrees Celsius,3.671,1.221,41664,county_month_depth,1,NA,Lunenburg,NA,15
Dissolved Oxygen,percent saturation,97.539,0.87,8854,county_month_depth,1,NA,Lunenburg,NA,20
Temperature,degrees Celsius,3.526,1.314,45309,county_month_depth,1,NA,Lunenburg,NA,20
Temperature,degrees Celsius,4.279,1.147,8184,county_month_depth,1,NA,Lunenburg,NA,25
Temperature,degrees Celsius,4.221,0.703,744,county_month_depth,1,NA,Lunenburg,NA,27
Temperature,degrees Celsius,4.373,1.107,17856,county_month_depth,1,NA,Lunenburg,NA,30
Temperature,degrees Celsius,4.962,1.27,1488,county_month_depth,1,NA,Lunenburg,NA,37
Temperature,degrees Celsius,3.552,1.302,6696,county_month_depth,1,NA,Lunenburg,NA,40
Temperature,degrees Celsius,2.236,0.502,696,county_month_depth,2,NA,Lunenburg,NA,1
Dissolved Oxygen,percent saturation,103.156,3.139,22999,county_month_depth,2,NA,Lunenburg,NA,2
Temperature,degrees Celsius,1.627,0.698,63587,county_month_depth,2,NA,Lunenburg,NA,2
Dissolved Oxygen,mg/L,10.885,0.499,20353,county_month_depth,2,NA,Lunenburg,NA,5
Dissolved Oxygen,percent saturation,101.137,1.015,23141,county_month_depth,2,NA,Lunenburg,NA,5
Temperature,degrees Celsius,1.643,0.697,69932,county_month_depth,2,NA,Lunenburg,NA,5
Dissolved Oxygen,percent saturation,100.053,0.782,15580,county_month_depth,2,NA,Lunenburg,NA,10
Temperature,degrees Celsius,1.709,0.763,55877,county_month_depth,2,NA,Lunenburg,NA,10
Temperature,degrees Celsius,2.312,0.573,696,county_month_depth,2,NA,Lunenburg,NA,12
Dissolved Oxygen,percent saturation,99.682,0.658,15573,county_month_depth,2,NA,Lunenburg,NA,15
Temperature,degrees Celsius,1.785,0.757,55868,county_month_depth,2,NA,Lunenburg,NA,15
Dissolved Oxygen,percent saturation,97.221,1.243,24876,county_month_depth,2,NA,Lunenburg,NA,20
Temperature,degrees Celsius,1.856,0.842,59280,county_month_depth,2,NA,Lunenburg,NA,20
Temperature,degrees Celsius,2.513,0.865,8610,county_month_depth,2,NA,Lunenburg,NA,25
Temperature,degrees Celsius,2.038,0.535,672,county_month_depth,2,NA,Lunenburg,NA,27
Temperature,degrees Celsius,2.904,0.65,18201,county_month_depth,2,NA,Lunenburg,NA,30
Temperature,degrees Celsius,3.285,1.034,1344,county_month_depth,2,NA,Lunenburg,NA,37
Temperature,degrees Celsius,2.63,0.667,7255,county_month_depth,2,NA,Lunenburg,NA,40
Temperature,degrees Celsius,2.208,0.317,744,county_month_depth,3,NA,Lunenburg,NA,1
Dissolved Oxygen,percent saturation,102.68,1.823,18458,county_month_depth,3,NA,Lunenburg,NA,2
Temperature,degrees Celsius,2.173,0.794,83760,county_month_depth,3,NA,Lunenburg,NA,2
Dissolved Oxygen,mg/L,10.967,0.587,16731,county_month_depth,3,NA,Lunenburg,NA,5
Dissolved Oxygen,percent saturation,101.324,1.666,35105,county_month_depth,3,NA,Lunenburg,NA,5
Temperature,degrees Celsius,2.149,0.746,91284,county_month_depth,3,NA,Lunenburg,NA,5
Dissolved Oxygen,percent saturation,100.256,0.556,18832,county_month_depth,3,NA,Lunenburg,NA,10
Temperature,degrees Celsius,2.14,0.761,72214,county_month_depth,3,NA,Lunenburg,NA,10
Temperature,degrees Celsius,2.238,0.233,744,county_month_depth,3,NA,Lunenburg,NA,12
Dissolved Oxygen,percent saturation,100.343,0.683,18828,county_month_depth,3,NA,Lunenburg,NA,15
